keyword_list,num_of_keywords,customer_input
car,43,portable car wash
car,43,car sunshade
car,43,remote control car
car,43,car jump starter
car,43,car key pouch
car,43,car sticker
car,43,car air purifier
car,43,car accessories interior
car,43,toy car
car,43,car decal
car,43,car charger
car,43,phone holder car
car,43,car seat
car,43,car freshener
car,43,car perfume
car,43,blackvue car camera
car,43,car polish
car,43,dash camera car camera
car,43,car accessories
car,43,car vacuum cleaner
car,43,car seat protector
car,43,car cover
car,43,car camera
car,43,car mat
car,43,car booster seat
car,43,car charger adapter
car,43,car vacuum
car,43,car seat cushion
car,43,car shade
car,43,car hook
car,43,car wash
car,43,in car camera
car,43,car camera recorder
car,43,car air freshener
car,43,car wiper
car,43,handphone car holder
watch,41,fitbit watch
watch,41,g shock watch
watch,41,heart rate monitor watch
watch,41,xiaomi watch
watch,41,watch strap
watch,41,ladies watch
watch,41,children watch
watch,41,fitness watch
watch,41,blood pressure watch
watch,41,watch
watch,41,kate spade watch
watch,41,baby g watch
watch,41,mens watch
watch,41,casio kids watch
watch,41,rolex watch
watch,41,gps watch
watch,41,Swiss watch
watch,41,leather watch
watch,41,fossil watch
watch,41,kids watch
watch,41,garmin watch
watch,41,smart watch
watch,41,adidas watch
watch,41,men watch
watch,41,apple watch strap
watch,41,tag heuer watch
watch,41,fossil smart watch
watch,41,swatch watch
watch,41,gps kids watch
watch,41,couple watch
watch,41,watch winder
watch,41,gshock watch
watch,41,watch winder box automatic
watch,41,apple watch series 3
watch,41,sport watch
watch,41,apple watch series 2
watch,41,watch box
watch,41,apple watch case
watch,41,apple watch screen protector
watch,41,Casio watch
watch,41,digital watch
cover,39,samsung note 8 cover
cover,39,ipad mini cover
cover,39,wet wipes cover
cover,39,washing machine cover
cover,39,s8 cover
cover,39,luggage cover
cover,39,ipad air cover
cover,39,s8 plus cover
cover,39,iphone 7 cover
cover,39,handphone cover
cover,39,Samsung s7 cover
cover,39,ipad pro 10 5 cover
cover,39,table cover
cover,39,cushion cover
cover,39,food cover
cover,39,phone cover
cover,39,quilt cover
cover,39,mattress cover
cover,39,cup cover
cover,39,car cover
cover,39,iphone cover
cover,39,ipad 2 cover
cover,39,iPhone 6 cover
cover,39,car seat cover
cover,39,note 8 cover
cover,39,nursing cover
cover,39,bicycle cover
cover,39,ipad air 2 cover
cover,39,luggage cover protector
cover,39,ipad mini 4 cover
cover,39,chair cover
cover,39,ipad cover
cover,39,samsung s8 cover
cover,39,passport cover
cover,39,steering wheel cover
cover,39,toilet seat cover
cover,39,sofa cover
cover,39,samsung s8 plus cover
cover,39,samsung s7 edge cover
card,38,lanyard card holder
card,38,malaysia sim card
card,38,hong kong sim card
card,38,128gb micro sd card
card,38,Samsung sd card
card,38,micro sd card 64gb
card,38,overseas sim card
card,38,memory card
card,38,pokemon card
card,38,sim card
card,38,sim card europe
card,38,micro sd card
card,38,japan prepaid sim card
card,38,japan sim card
card,38,Korea Sim card
card,38,australia sim card
card,38,card wallet
card,38,sd card 32gb
card,38,card holder wallet
card,38,name card holder
card,38,card holder lanyard
card,38,micro sd card 128gb
